pool_depth,attack_size_frac,user_regime,arbitrage_mode,peg_failure_mean,peg_failure_std,profit_mean,profit_std,profit_min,profit_max,min_price_mean,min_price_std,max_price_drop_mean,max_price_drop_std
5000000,0.01,Panic,Fast,0.2,0.4068,49740.5588,2074.1388,46349.6873,54107.0421,0.8864,0.0326,0.1136,0.0326
5000000,0.01,Panic,Moderate,0.4667,0.5074,49637.6434,1470.768,45674.5538,52100.1234,0.9208,0.0276,0.0792,0.0276
5000000,0.01,Panic,Slow,0.6,0.4983,56160.2793,9435.6114,45141.7314,93325.359,0.9296,0.0482,0.0704,0.0482
5000000,0.025,Normal,Fast,0.0,0.0,122000.296,247.7521,121585.9285,122510.094,0.9685,0.0022,0.0315,0.0022
5000000,0.025,Normal,Moderate,0.1,0.3051,121928.1989,196.16,121346.1254,122197.7884,0.9749,0.0222,0.0251,0.0222
5000000,0.025,Normal,Slow,0.9,0.3051,121913.9829,783.5142,120369.3927,124306.2799,0.9512,0.0112,0.0488,0.0112
5000000,0.025,Panic,Fast,0.1333,0.3457,122526.2698,5071.6443,114232.388,133199.9491,0.8851,0.0322,0.1149,0.0322
5000000,0.025,Panic,Moderate,0.5,0.5085,122275.1505,3597.035,112580.0739,128295.8714,0.9199,0.0262,0.0801,0.0262
5000000,0.025,Panic,Slow,0.6,0.4983,138194.5202,23000.931,111275.8703,228659.3753,0.9239,0.0503,0.0761,0.0503
5000000,0.05,Normal,Fast,0.0,0.0,238189.9191,478.0135,237390.4181,239173.5016,0.9392,0.0022,0.0608,0.0022
5000000,0.05,Normal,Moderate,0.1,0.3051,238050.8163,378.4836,236927.7038,238570.966,0.9538,0.0446,0.0462,0.0446
5000000,0.05,Normal,Slow,0.9667,0.1826,238023.3109,1511.6966,235042.8759,242638.3894,0.9091,0.0175,0.0909,0.0175
5000000,0.05,Panic,Fast,0.1,0.3051,239201.2993,9783.4636,223194.0225,259781.6695,0.879,0.0311,0.121,0.0311
5000000,0.05,Panic,Moderate,0.5,0.5085,238718.4966,6941.1424,220002.0371,250331.2746,0.9148,0.0269,0.0852,0.0269
5000000,0.05,Panic,Slow,0.6667,0.4795,269337.432,44155.0639,217481.9864,442604.0014,0.9107,0.0547,0.0893,0.0547
5000000,0.1,Normal,Fast,0.0,0.0,454722.172,892.3176,453229.6609,456558.1667,0.8855,0.002,0.1145,0.002
5000000,0.1,Normal,Moderate,0.1,0.3051,454462.5117,706.5643,452365.7738,455433.496,0.915,0.0844,0.085,0.0844
5000000,0.1,Normal,Slow,1.0,0.0,454410.9022,2821.8543,448846.2364,463023.8154,0.833,0.029,0.167,0.029
5000000,0.1,Panic,Fast,0.0667,0.2537,456598.3406,18256.9219,426699.8481,494970.0485,0.8581,0.0338,0.1419,0.0338
5000000,0.1,Panic,Moderate,0.5,0.5085,455702.9398,12960.6799,420727.4926,477368.3515,0.8846,0.0536,0.1154,0.0536
5000000,0.1,Panic,Slow,0.8,0.4068,512534.9962,81675.4567,416010.4413,831687.0551,0.8648,0.0707,0.1352,0.0707
10000000,0.005,Normal,Fast,0.0,0.0,49771.4633,102.0673,49600.7584,49981.4907,0.9925,0.0019,0.0075,0.0019
10000000,0.005,Normal,Moderate,0.0,0.0,49741.7609,80.8106,49501.9726,49852.8241,0.9928,0.0033,0.0072,0.0033
10000000,0.005,Normal,Slow,0.1667,0.379,49735.9182,322.7903,49099.6417,50721.5935,0.9857,0.0058,0.0143,0.0058
10000000,0.005,Panic,Fast,0.1667,0.379,49988.7685,2089.7045,46572.8133,54388.4653,0.8865,0.0327,0.1135,0.0327
10000000,0.005,Panic,Moderate,0.4667,0.5074,49885.0066,1481.7015,45892.8225,52366.0352,0.9207,0.0276,0.0793,0.0276
10000000,0.005,Panic,Slow,0.6,0.4983,56460.7784,9516.4448,45356.192,93962.8505,0.9311,0.0477,0.0689,0.0477
10000000,0.01,Normal,Fast,0.0,0.0,99050.0398,202.6219,98711.1579,99466.9798,0.9869,0.0023,0.0131,0.0023
10000000,0.01,Normal,Moderate,0.0333,0.1826,98991.0753,160.4246,98515.047,99211.5561,0.9883,0.0079,0.0117,0.0079
10000000,0.01,Normal,Slow,0.3333,0.4795,98979.4694,640.7952,97716.3187,100936.1559,0.9775,0.0074,0.0225,0.0074
10000000,0.01,Panic,Fast,0.2,0.4068,99481.1177,4148.2776,92699.3745,108214.0843,0.8864,0.0326,0.1136,0.0326
10000000,0.01,Panic,Moderate,0.4667,0.5074,99275.2868,2941.5361,91349.1076,104200.2469,0.9208,0.0276,0.0792,0.0276
10000000,0.01,Panic,Slow,0.6,0.4983,112320.5587,18871.2229,90283.4628,186650.7181,0.9296,0.0482,0.0704,0.0482
10000000,0.025,Normal,Fast,0.0,0.0,244000.592,495.5041,243171.8571,245020.1879,0.9685,0.0022,0.0315,0.0022
10000000,0.025,Normal,Moderate,0.1,0.3051,243856.3977,392.32,242692.2509,244395.5769,0.9749,0.0222,0.0251,0.0222
10000000,0.025,Normal,Slow,0.9,0.3051,243827.9658,1567.0284,240738.7854,248612.5597,0.9512,0.0112,0.0488,0.0112
10000000,0.025,Panic,Fast,0.1333,0.3457,245052.5396,10143.2885,228464.7761,266399.8983,0.8851,0.0322,0.1149,0.0322
10000000,0.025,Panic,Moderate,0.5,0.5085,244550.3009,7194.0699,225160.1478,256591.7429,0.9199,0.0262,0.0801,0.0262
10000000,0.025,Panic,Slow,0.6,0.4983,276389.0404,46001.8621,222551.7406,457318.7506,0.9239,0.0503,0.0761,0.0503
10000000,0.05,Normal,Fast,0.0,0.0,476379.8381,956.027,474780.8361,478347.0032,0.9392,0.0022,0.0608,0.0022
10000000,0.05,Normal,Moderate,0.1,0.3051,476101.6325,756.9672,473855.4076,477141.9321,0.9538,0.0446,0.0462,0.0446
10000000,0.05,Normal,Slow,0.9667,0.1826,476046.6218,3023.3932,470085.7517,485276.7789,0.9091,0.0175,0.0909,0.0175
10000000,0.05,Panic,Fast,0.1,0.3051,478402.5986,19566.9272,446388.045,519563.3389,0.879,0.0311,0.121,0.0311
10000000,0.05,Panic,Moderate,0.5,0.5085,477436.9931,13882.2848,440004.0742,500662.5492,0.9148,0.0269,0.0852,0.0269
10000000,0.05,Panic,Slow,0.6667,0.4795,538674.864,88310.1279,434963.9727,885208.0027,0.9107,0.0547,0.0893,0.0547
10000000,0.1,Normal,Fast,0.0,0.0,909444.344,1784.6353,906459.3219,913116.3335,0.8855,0.002,0.1145,0.002
10000000,0.1,Normal,Moderate,0.1,0.3051,908925.0235,1413.1286,904731.5476,910866.992,0.915,0.0844,0.085,0.0844
10000000,0.1,Normal,Slow,1.0,0.0,908821.8044,5643.7085,897692.4728,926047.6308,0.833,0.029,0.167,0.029
10000000,0.1,Panic,Fast,0.0667,0.2537,913196.6813,36513.8438,853399.6962,989940.097,0.8581,0.0338,0.1419,0.0338
10000000,0.1,Panic,Moderate,0.5,0.5085,911405.8796,25921.3599,841454.9852,954736.703,0.8846,0.0536,0.1154,0.0536
10000000,0.1,Panic,Slow,0.8,0.4068,1025069.9923,163350.9134,832020.8825,1663374.1101,0.8648,0.0707,0.1352,0.0707
