pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,profit_margin_percent,economically_viable
1000000,0.005,Panic,Moderate,0.0,5000.0,5016.513698630137,0,-5016.513698630137,-100.33027397260274,-100,False
1000000,0.005,Panic,Slow,0.0,5000.0,5016.513698630137,0,-5016.513698630137,-100.33027397260274,-100,False
1000000,0.01,Normal,Fast,0.0,10000.0,10033.041095890412,0,-10033.041095890412,-100.33041095890411,-100,False
1000000,0.01,Normal,Moderate,0.0,10000.0,10033.041095890412,0,-10033.041095890412,-100.33041095890411,-100,False
1000000,0.01,Normal,Slow,0.0,10000.0,10033.041095890412,0,-10033.041095890412,-100.33041095890411,-100,False
1000000,0.01,Panic,Fast,0.0,10000.0,10033.041095890412,0,-10033.041095890412,-100.33041095890411,-100,False
1000000,0.01,Panic,Moderate,0.0,10000.0,10033.041095890412,0,-10033.041095890412,-100.33041095890411,-100,False
1000000,0.01,Panic,Slow,0.0,10000.0,10033.041095890412,0,-10033.041095890412,-100.33041095890411,-100,False
1000000,0.025,Normal,Fast,0.0,25000.0,25082.705479452055,0,-25082.705479452055,-100.33082191780822,-100,False
1000000,0.025,Normal,Moderate,0.0,25000.0,25082.705479452055,0,-25082.705479452055,-100.33082191780822,-100,False
1000000,0.025,Normal,Slow,0.0,25000.0,25082.705479452055,0,-25082.705479452055,-100.33082191780822,-100,False
1000000,0.025,Panic,Fast,0.0,25000.0,25082.705479452055,0,-25082.705479452055,-100.33082191780822,-100,False
1000000,0.025,Panic,Moderate,0.0,25000.0,25082.705479452055,0,-25082.705479452055,-100.33082191780822,-100,False
1000000,0.025,Panic,Slow,0.0,25000.0,25082.705479452055,0,-25082.705479452055,-100.33082191780822,-100,False
1000000,0.05,Normal,Fast,0.0,50000.0,50165.75342465754,0,-50165.75342465754,-100.33150684931506,-100,False
1000000,0.05,Normal,Moderate,0.0,50000.0,50165.75342465754,0,-50165.75342465754,-100.33150684931506,-100,False
1000000,0.05,Normal,Slow,0.0,50000.0,50165.75342465754,0,-50165.75342465754,-100.33150684931506,-100,False
1000000,0.05,Panic,Fast,0.0,50000.0,50165.75342465754,0,-50165.75342465754,-100.33150684931506,-100,False
1000000,0.05,Panic,Moderate,0.0,50000.0,50165.75342465754,0,-50165.75342465754,-100.33150684931506,-100,False
