pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,profit_margin_percent,economically_viable
1000000,0.01,Panic,Slow,0.9,10000.0,10033.041095890412,2281.5000000000005,-7751.541095890412,-77.51541095890411,-339.7563487131453,False
1000000,0.025,Normal,Fast,0.0,25000.0,25082.705479452055,0.0,-25082.705479452055,-100.33082191780822,-100.0,False
1000000,0.025,Normal,Moderate,0.0,25000.0,25082.705479452055,0.0,-25082.705479452055,-100.33082191780822,-100.0,False
1000000,0.025,Normal,Slow,0.2,25000.0,25082.705479452055,667.5000000000002,-24415.205479452055,-97.66082191780822,-3657.7086860602312,False
1000000,0.025,Panic,Fast,0.0,25000.0,25082.705479452055,0.0,-25082.705479452055,-100.33082191780822,-100.0,False
1000000,0.025,Panic,Moderate,0.5,25000.0,25082.705479452055,1668.7500000000007,-23413.955479452055,-93.65582191780823,-1403.0834744240926,False
1000000,0.025,Panic,Slow,0.9,25000.0,25082.705479452055,3003.750000000001,-22078.955479452055,-88.31582191780822,-735.0463746800515,False
1000000,0.05,Normal,Fast,0.0,50000.0,50165.75342465754,0.0,-50165.75342465754,-100.33150684931506,-100.0,False
1000000,0.05,Normal,Moderate,0.3,50000.0,50165.75342465754,1402.500000000001,-48763.25342465754,-97.52650684931507,-3476.880814592336,False
1000000,0.05,Normal,Slow,0.8,50000.0,50165.75342465754,3740.0000000000023,-46425.75342465754,-92.85150684931509,-1241.330305472126,False
1000000,0.05,Panic,Fast,0.0,50000.0,50165.75342465754,0.0,-50165.75342465754,-100.33150684931506,-100.0,False
1000000,0.05,Panic,Moderate,0.5,50000.0,50165.75342465754,2337.5000000000014,-47828.25342465754,-95.65650684931506,-2046.1284887554016,False
1000000,0.05,Panic,Slow,1.0,50000.0,50165.75342465754,4675.000000000003,-45490.75342465754,-90.98150684931508,-973.0642443777008,False
5000000,0.005,Normal,Fast,0.0,25000.0,25082.568493150688,0.0,-25082.568493150688,-100.33027397260274,-100.0,False
5000000,0.005,Normal,Moderate,0.0,25000.0,25082.568493150688,0.0,-25082.568493150688,-100.33027397260274,-100.0,False
5000000,0.005,Normal,Slow,0.0,25000.0,25082.568493150688,0.0,-25082.568493150688,-100.33027397260274,-100.0,False
5000000,0.005,Panic,Fast,0.0,25000.0,25082.568493150688,0.0,-25082.568493150688,-100.33027397260274,-100.0,False
5000000,0.005,Panic,Moderate,0.2,25000.0,25082.568493150688,2267.5000000000005,-22815.068493150688,-91.26027397260275,-1006.1772213076375,False
5000000,0.005,Panic,Slow,0.9,25000.0,25082.568493150688,10203.750000000002,-14878.818493150686,-59.51527397260274,-145.81716029058614,False
5000000,0.01,Normal,Fast,0.0,50000.0,50165.20547945206,0.0,-50165.20547945206,-100.33041095890411,-100.0,False
5000000,0.01,Normal,Moderate,0.0,50000.0,50165.20547945206,0.0,-50165.20547945206,-100.33041095890411,-100.0,False
5000000,0.01,Normal,Slow,0.0,50000.0,50165.20547945206,0.0,-50165.20547945206,-100.33041095890411,-100.0,False
5000000,0.01,Panic,Fast,0.0,50000.0,50165.20547945206,0.0,-50165.20547945206,-100.33041095890411,-100.0,False
5000000,0.01,Panic,Moderate,0.4,50000.0,50165.20547945206,5070.000000000001,-45095.20547945206,-90.19041095890412,-889.4517846045769,False
5000000,0.01,Panic,Slow,0.9,50000.0,50165.20547945206,11407.500000000002,-38757.70547945206,-77.51541095890411,-339.7563487131453,False
5000000,0.025,Normal,Fast,0.0,125000.0,125413.52739726027,0.0,-125413.52739726027,-100.33082191780822,-100.0,False
5000000,0.025,Normal,Moderate,0.0,125000.0,125413.52739726027,0.0,-125413.52739726027,-100.33082191780822,-100.0,False
5000000,0.025,Normal,Slow,0.2,125000.0,125413.52739726027,3337.500000000001,-122076.02739726027,-97.66082191780822,-3657.708686060232,False
5000000,0.025,Panic,Fast,0.0,125000.0,125413.52739726027,0.0,-125413.52739726027,-100.33082191780822,-100.0,False
5000000,0.025,Panic,Moderate,0.5,125000.0,125413.52739726027,8343.750000000004,-117069.77739726027,-93.65582191780823,-1403.0834744240926,False
5000000,0.025,Panic,Slow,0.9,125000.0,125413.52739726027,15018.750000000005,-110394.77739726027,-88.31582191780822,-735.0463746800515,False
5000000,0.05,Normal,Fast,0.0,250000.0,250828.7671232877,0.0,-250828.7671232877,-100.33150684931506,-100.0,False
5000000,0.05,Normal,Moderate,0.3,250000.0,250828.7671232877,7012.500000000004,-243816.2671232877,-97.52650684931507,-3476.880814592336,False
5000000,0.05,Normal,Slow,0.8,250000.0,250828.7671232877,18700.000000000007,-232128.7671232877,-92.85150684931509,-1241.3303054721262,False
5000000,0.05,Panic,Fast,0.0,250000.0,250828.7671232877,0.0,-250828.7671232877,-100.33150684931506,-100.0,False
5000000,0.05,Panic,Moderate,0.5,250000.0,250828.7671232877,11687.500000000005,-239141.2671232877,-95.65650684931506,-2046.1284887554018,False
5000000,0.05,Panic,Slow,1.0,250000.0,250828.7671232877,23375.00000000001,-227453.7671232877,-90.98150684931508,-973.0642443777009,False
